"","Año","$BD_{sept}$","$BD_{marzo}$","$BT_{sept}$","$BT_{marzo}$","$R_{sept}$","$R_{marzo}$","$F_{sept}$","$F_{marzo}$"
"1","1990/91","2008700","2030000","2844200","2870400","169670","170120","0.209","0.207"
"2","1991/92","1344500","1358500","1949500","1966700","93768","94041","0.386","0.382"
"3","1992/93","645250","652550","955290","964360","94409","94707","0.379","0.375"
"4","1993/94","358150","362070","902180","909000","142470","143180","0.576","0.57"
"5","1994/95","390940","395090","761620","767170","115500","115760","0.192","0.19"
"6","1995/96","469770","473120","1518000","1517100","212650","211490","0.347","0.347"
"7","1996/97","648700","647450","1080200","1077600","83311","82828","0.8","0.803"
"8","1997/98","348370","346010","746840","741130","35378","35062","0.137","0.138"
"9","1998/99","314830","311640","653870","646260","34847","34292","0.547","0.555"
"10","1999/00","198580","194090","475590","465230","47251","46073","0.764","0.786"
"11","2000/01","123590","118470","457800","444970","88252","86319","0.167","0.172"
"12","2001/02","254560","246340","725490","713020","126940","126130","0.671","0.686"
"13","2002/03","272510","264590","766550","753550","105990","105110","0.63","0.643"
"14","2003/04","221470","215090","773620","767100","73689","73955","1.104","1.12"
"15","2004/05","132870","130190","629360","626840","67496","67638","0.809","0.813"
"16","2005/06","167690","166450","1310300","1299600","364340","361230","0.631","0.636"
"17","2006/07","621470","612730","1074400","1058400","72290","70839","0.412","0.419"
"18","2007/08","546580","533910","3087000","3029800","586530","576230","0.389","0.397"
"19","2008/09","1263800","1230300","2846100","2794700","332590","329460","0.545","0.557"
"20","2009/10","894040","867720","1877000","1828600","275020","268470","0.494","0.509"
"21","2010/11","974810","936800","3000800","2926400","364240","358290","0.386","0.398"
"22","2011/12","1189500","1147700","2747600","2690600","495590","492960","0.493","0.504"
"23","2012/13","1116600","1088100","1869900","1824500","97434","95115","0.296","0.303"
"24","2013/14","883910","857790","3164100","3096700","289240","284180","0.263","0.269"
"25","2014/15","1284500","1250400","2252000","2202700","243240","240020","0.262","0.268"
"26","2015/16","1047700","1021300","1916400","1876300","107500","106000","0.212","0.217"
"27","2016/17","851980","831090","2728000","2663200","244410","238570","0.258","0.264"
"28","2017/18","934650","907150","2809100","2763000","270150","267990","0.213","0.216"
"29","2018/19","1331300","1307200","1841000","1811000","75649","75099","0.207","0.21"
"30","2019/20","849310","832960","1333000","1305400","58067","56309","0.319","0.326"
"31","2020/21",NA,"430060",NA,"1782600",NA,"257750",NA,"0.183"
