;Año;$BD_{sept}$;$BD_{marzo}$;$BD_{julio}$;$BT_{sept}$;$BT_{marzo}$;$BT_{julio}$;$R_{sept}$;$R_{marzo}$;$R_{julio}$;$F_{sept}$;$F_{marzo}$;$F_{julio}$
1;1990/91;2,008,700;2,030,000;2,015,480;2844200;2870400;2854570;169670;170120;170,639;0.209;0.207;0.208
2;1991/92;1,344,500;1,358,500;1,351,070;1949500;1966700;1957010;93768;94041;93,685;0.386;0.382;0.384
3;1992/93;645,250;652,550;648,897;955290;964360;960132;94409;94707;94,732;0.379;0.375;0.377
4;1993/94;358,150;362,070;360,662;902180;909000;908707;142470;143180;143,611;0.576;0.57;0.573
5;1994/95;390,940;395,090;395,593;761620;767170;769117;115500;115760;116,301;0.192;0.19;0.19
6;1995/96;469,770;473,120;475,138;1518000;1517100;1526620;212650;211490;213,115;0.347;0.347;0.346
7;1996/97;648,700;647,450;653,825;1080200;1077600;1086140;83311;82828;83,214;0.8;0.803;0.796
8;1997/98;348,370;346,010;351,479;746840;741130;749454;35378;35062;35,261;0.137;0.138;0.137
9;1998/99;314,830;311,640;316,169;653870;646260;654159;34847;34292;34,643;0.547;0.555;0.548
10;1999/00;198,580;194,090;198,246;475590;465230;473346;47251;46073;46,792;0.764;0.786;0.77
11;2000/01;123,590;118,470;122,362;457800;444970;453525;88252;86319;87,440;0.167;0.172;0.169
12;2001/02;254,560;246,340;251,598;725490;713020;722233;126940;126130;127,032;0.671;0.686;0.678
13;2002/03;272,510;264,590;270,551;766550;753550;765101;105990;105110;106,224;0.63;0.643;0.633
14;2003/04;221,470;215,090;221,022;773620;767100;775923;73689;73955;74,160;1.104;1.12;1.104
15;2004/05;132,870;130,190;133,954;629360;626840;634685;67496;67638;68,098;0.809;0.813;0.804
16;2005/06;167,690;166,450;170,388;1310300;1299600;1321650;364340;361230;366,988;0.631;0.636;0.628
17;2006/07;621,470;612,730;630,224;1074400;1058400;1091760;72290;70839;74,055;0.412;0.419;0.406
18;2007/08;546,580;533,910;560,080;3087000;3029800;3125370;586530;576230;591,892;0.389;0.397;0.385
19;2008/09;1,263,800;1,230,300;1,285,730;2846100;2794700;2875880;332590;329460;333,486;0.545;0.557;0.539
20;2009/10;894,040;867,720;906,147;1877000;1828600;1852850;275020;268470;259,700;0.494;0.509;0.505
21;2010/11;974,810;936,800;942,980;3000800;2926400;2963710;364240;358290;364,438;0.386;0.398;0.395
22;2011/12;1,189,500;1,147,700;1,167,280;2747600;2690600;2728000;495590;492960;498,579;0.493;0.504;0.498
23;2012/13;1,116,600;1,088,100;1,111,240;1869900;1824500;1862960;97434;95115;97,326;0.296;0.303;0.297
24;2013/14;883,910;857,790;881,823;3164100;3096700;3165820;289240;284180;289,821;0.263;0.269;0.264
25;2014/15;1,284,500;1,250,400;1,286,070;2252000;2202700;2254280;243240;240020;243,378;0.262;0.268;0.262
26;2015/16;1,047,700;1,021,300;1,049,280;1916400;1876300;1921390;107500;106000;108,023;0.212;0.217;0.212
27;2016/17;851,980;831,090;853,911;2728000;2663200;2726220;244410;238570;243,660;0.258;0.264;0.264
28;2017/18;934,650;907,150;928,190;2809100;2763000;2826010;270150;267990;273,830;0.213;0.216;0.223
29;2018/19;1,331,300;1,307,200;1,331,900;1841000;1811000;1855990;75649;75099;80,727;0.207;0.21;0.203
30;2019/20;849,310;832,960;866,506;1333000;1305400;1352630;58067;56309;58,188;0.319;0.326;0.306
31;2020/21;NA;430,060;511,108;NA;1782600;2000590;NA;257750;220,797;NA;0.183;0.326
;;;promedio;717707;;promedio;1652124;;;;;;
;;bajo;1991-2007;503921;bajo;1991-2007;1041420;bajo;1991-2007;113882;;;
;;alto;2008-2012;972443;alto;2008-2012;2709162;alto;2008-2012;409619;;;
;;medio;2013-2021;980003;medio;2013-2021;2218432;medio;2013-2021;179528;;;
;;;;;;;;;;;;;
;;;1991-2007;;;1991-2007;92%;;1991-2007;94%;;;
;;;2008-2012;-47%;;2008-2012;-26%;;2008-2012;-46%;;;
;;;2013-2021;-48%;;2013-2021;-10%;;2013-2021;23%;;;
;;;respecto 2020;-41%;;respecto 2020;48%;;;279%;;;
;;;r prom hist;-29%;;r prom hist;21%;;;;;;
;;;BD rms;820000;;;;;;;;;
;;;;-38%;;;;;;;;;
